time,x1
0.0,3.0
0.01,5.26945327603762
0.02,7.904682442192337
0.03,10.234523144317563
0.04,11.579197080368578
0.05,12.473179251829123
0.06,11.078836384698224
0.07,7.5031783192199235
0.08,4.342980899904759
0.09,2.444776953440961
0.1,3.460127364623645
0.11,3.7906163979560965
0.12,4.268984879101671
0.13,4.836740431681196
0.14,5.847601747573469
0.15,7.9856363614523005
0.16,10.836948580467787
0.17,12.196252098177567
0.18,12.558930332203518
0.19,10.634537067935854
0.2,7.527367269056583
0.21,4.565055723203951
0.22,4.809104381581296
0.23,5.45247639644915
0.24,6.542961824225049
0.25,6.808857186622028
0.26,8.910020567563004
0.27,10.394735957014607
0.28,9.937861224898075
0.29,8.388585888184222
0.3,7.000899791531616
0.31,5.947910893777113
0.32,5.420706832056183
0.33,5.314823880402201
0.34,6.489681823145254
0.35,8.268979535659986
0.36,9.377735409019014
0.37,9.410805052977851
0.38,8.948077863775042
0.39,8.044616243564471
0.4,5.840569422882826
0.41,6.138442925198337
0.42,6.39400922184911
0.43,8.349134977915934
0.44,9.202369826357327
0.45,9.117412725266618
0.46,8.536049993010607
0.47,7.278301598259073
0.48,5.86873817863621
0.49,4.858230445004057
0.5,5.395274394373494
0.51,7.444076975773335
0.52,8.37587484364979
0.53,9.306270010775007
0.54,10.229578320999144
0.55,10.243177053316233
0.56,8.50701403211431
0.57,6.313051676506827
0.58,5.603484919866677
0.59,5.416735804410248
0.6,6.07106302464889
0.61,7.088190185748189
0.62,7.822813334420482
0.63,8.603981290717343
0.64,8.644988536878918
0.65,8.92587068239778
0.66,8.959847032899098
0.67,8.053117866918473
0.68,6.984774213231624
0.69,6.022596181925394
0.7,5.411306402810258
0.71,5.7267133309931815
0.72,6.674176762284631
0.73,8.58762988152398
0.74,10.646263230113572
0.75,11.40158943694115
0.76,10.056734352206497
0.77,7.0708556533915505
0.78,5.919190298401336
0.79,5.112546899608869
0.8,4.471695716639996
0.81,5.950106442541454
0.82,7.0933552095561065
0.83,9.003998818436418
0.84,10.043636854188769
0.85,10.29220435899939
0.86,9.886350940715595
0.87,8.097249417316313
0.88,6.229958615241554
0.89,6.028678271712145
0.9,6.741556114281913
0.91,7.067044650657952
0.92,8.567000147016557
0.93,8.292430579688002
0.94,7.529323825790634
0.95,8.058424580031772
0.96,7.4990374080632485
0.97,8.307927717076936
0.98,7.509115316408096
0.99,7.002450928659993
1.0,6.994493526113381
1.01,7.067040340902391
1.02,6.031285627601886
1.03,7.7971247982757
1.04,9.962001771637055
1.05,10.066151567296506
1.06,8.6824231088946
1.07,6.520806817215597
1.08,5.827384253195021
1.09,5.226587363831712
1.1,5.690408267962052
1.11,6.990145109991303
1.12,8.146285089726092
1.13,8.987177776432961
1.14,9.747123296427004
1.15,10.595920295759575
1.16,7.491126317683843
1.17,6.397322591266324
1.18,6.30042006885472
1.19,6.490329535335487
1.2,6.0292627128066805
1.21,7.03604445199851
1.22,7.711330195790415
1.23,9.525763221663182
1.24,9.467889928968777
1.25,9.14233191965394
1.26,7.4921056500692025
1.27,7.334876721121894
1.28,6.8102725450355415
1.29,6.2924919811996
1.3,6.684488640130226
1.31,7.9000713124830675
1.32,9.886820972353416
1.33,10.338586298084063
1.34,8.776853478500588
1.35,6.8466675717588785
1.36,4.565401501292861
1.37,5.094449756733255
1.38,5.334228118245115
1.39,6.440237782708788
1.4,8.022422403397972
1.41,10.412795336986266
1.42,11.691911470976596
1.43,9.639558271049689
1.44,7.706415950146345
1.45,6.442633854873105
1.46,6.161705952420839
1.47,6.343302429437355
1.48,6.573624605161974
1.49,7.426600369961175
1.5,7.839398697418559
1.51,8.801599741663804
1.52,9.730088127326791
1.53,8.50600703593226
1.54,7.740800577267251
1.55,6.056877159083797
1.56,4.791334413213082
