time,x1,x2
1.03515625,9,NaN
1.0390625,-3,NaN
1.04296875,-23,NaN
1.046875,-17,NaN
1.05078125,-17,NaN
1.0546875,-18,NaN
1.05859375,-22,NaN
1.0625,-30,NaN
1.06640625,-36,NaN
1.0703125,-41,NaN
1.07421875,-41,NaN
1.078125,-35,NaN
1.08203125,-14,NaN
1.0859375,-1,NaN
1.08984375,-3,NaN
1.09375,-11,NaN
1.09765625,-27,NaN
1.1015625,-39,NaN
1.10546875,-17,NaN
1.109375,28,NaN
1.11328125,85,NaN
1.1171875,131,NaN
1.12109375,149,NaN
1.125,176,NaN
1.12890625,169,NaN
1.1328125,172,NaN
1.13671875,176,NaN
1.140625,158,NaN
1.14453125,152,NaN
1.1484375,148,NaN
1.15234375,132,NaN
1.15625,94,NaN
1.16015625,62,NaN
1.1640625,34,NaN
1.16796875,3,NaN
1.171875,-10,NaN
1.17578125,-15,NaN
1.1796875,-11,NaN
1.18359375,-12,NaN
1.1875,-19,NaN
1.19140625,-13,NaN
1.1953125,-5,NaN
1.19921875,-12,NaN
1.203125,-1,NaN
1.20703125,-6,NaN
1.2109375,-17,NaN
1.21484375,-9,NaN
1.21875,-5,NaN
1.22265625,-17,NaN
1.2265625,-30,NaN
1.23046875,-50,NaN
1.234375,-61,NaN
1.23828125,-68,NaN
1.2421875,-50,NaN
1.24609375,-27,NaN
1.25,-13,NaN
1.25390625,-3,NaN
1.2578125,-7,NaN
1.26171875,-17,NaN
1.265625,-24,NaN
1.26953125,-38,NaN
1.2734375,-42,NaN
1.27734375,-44,NaN
1.28125,-42,NaN
1.28515625,-43,NaN
1.2890625,-53,NaN
1.29296875,-70,NaN
1.296875,-79,NaN
1.30078125,-68,NaN
1.3046875,-59,NaN
1.30859375,-52,NaN
1.3125,-45,NaN
1.31640625,-46,NaN
1.3203125,-53,NaN
1.32421875,-57,NaN
1.328125,-58,NaN
1.33203125,-59,NaN
1.3359375,-62,NaN
1.33984375,-58,NaN
1.34375,-64,NaN
1.34765625,-63,NaN
1.3515625,-73,NaN
1.35546875,-99,NaN
1.359375,-120,NaN
1.36328125,-113,NaN
1.3671875,-94,NaN
1.37109375,-83,NaN
1.375,-59,NaN
1.37890625,-52,NaN
1.3828125,-45,NaN
1.38671875,-36,NaN
1.390625,-26,NaN
1.39453125,-18,NaN
1.3984375,-5,NaN
1.40234375,11,NaN
1.40625,4,NaN
1.41015625,-4,NaN
1.4140625,-12,NaN
1.41796875,-27,NaN
1.421875,-26,NaN
1.42578125,-22,NaN
1.4296875,-4,NaN
1.43359375,0,NaN
1.4375,-4,NaN
1.44140625,1,NaN
1.4453125,5,NaN
1.44921875,16,NaN
1.453125,19,NaN
1.45703125,18,NaN
1.4609375,17,NaN
